twisted brexiteers target cancer-stricken girl , 6 , after she was flown from new zealand to the uk for life-saving medical treatment	madison merrick flew 12,000 to birmingham for bowel surgery and was then struck down with cancer twisted internet trolls have targeted hateful messages at a brave six-year-old girl recovering from cancer .
thom browne talks about michelle obama 's inaugural outfit	first lady michelle obama arrives during the presidential inauguration wearing a thom browne coat. ( win mcnamee / afp/ getty images / january 21 , 2013 ) january 21 , 2013 , 10:46 a.m. just hours after finding out that first lady michelle obama had chosen an outfit of his design to the presidential inauguration , fashion designer thom browne shared his reactions and inspirations .
awaiting a ruling on the health law mandate , and reviewing alternatives	matthew ryan williams for the new york times state senator karen keiser of washington , leader of a group tackling the issue of widening the pool of insured , with david hanig , a health care policy analyst .
nyse 'normal ' after seeing trading issues	nyse , nasdaq , bats and other exchanges reported issues with price and trading data thursday afternoon , due to market-wide glitch at a key piece of market infrastructure that consolidates quotes and trading data .
obama , castro shake hands ahead of historic meeting	panama city — with a cordial evening handshake , president barack obama and cuban president raul castro moved friday toward a groundbreaking meeting on the sidelines of the summit of the americas in what would be a remarkable display of reconciliation between two nations .
competitive eater matt stonie eats 12 pints of ben & jerry 's ice cream	legendary competitive eater matt stonie , who won this year ’ s nathan ’ s hot dog eating contest , is back with a new feat : inhaling 12 pints of ice cream in just 35 minutes .
ed kosner is named editor of daily news appoints goodwin senior executive editor	friday , march 24th 2000 , 2:12am edward kosner , the former editor of newsweek , new york and esquire magazines who joined the daily news 16 months ago as editor of a new sunday edition , was named editor in chief of the daily news yesterday by mortimer b. zuckerman , chairman and co-publisher of the paper .
grappling with growth and value	until midyear , growth stocks left value properties in the dust , widening their performance gap to 1,500 basis points.this is historically an enormous disparity rarely witnessed , but the pecking order this quarter shows a marked change .
lb wilhoite signs one-year deal to stay with 49ers	photo : scott strazzante , the chronicle lb wilhoite signs one-year deal to stay with 49ers niners inside linebacker michael wilhoite , a restricted free agent , has signed his one-year qualifying offer from the team and will aim to assume a starting role for the third straight season .
2008 could set records for tornado deaths	( cnn ) -- parkersburg , iowa , is mourning its dead and cleaning up the colossal mess left by a powerful tornado that tore through the town on sunday night .
rich list businessman virendra rastogi jailed for £350m fraud	virendra rastogi , 39 , guantam majumdar , 55 , and anand jain 42 were found guilty of an international conspiracy to defraud virendra rastogi spent six years running an `` incestuous empire '' of fictitious firms whose real premises included a cowshed in india and a launderette in america .
goldman sachs bans dirty words in all employee e-mail	there will never be another sh -- -y deal at goldman sachs group inc.the new york company is telling employees that they will no longer be able to get away with profanity in electronic messages .
apple ipad review round-up ! tech reviewers give it the thumbs-up	lydia noone daily news writer friday , april 2nd 2010 , 12:06 am while the rest of us will have to wait until saturday to get our hands on the apple ipad , several tech reviewers got a sneak peak at the long-awaited tablet computer this week .
microsoft unveils windows 10	at its redmond , washington , headquarters on wednesday , microsoft ( msft , tech30 ) detailed how its new operating system will work across desktops , laptops , tablets , smartphones -- oh , and it 's going to use holograms .
britney spears faces off with nemesis sam lutfi	britney spears has to sit face-to-face with the man her family says has been haunting her for years.britney is in a conference room right now , answering questions fired off by the lawyer for her former friend and self-proclaimed manager sam lutfi .
new technology isn ’ t an excuse to cut off phone service without warning , the fcc rules	federal regulators have voted to impose new limits on telecom companies to be sure they do n't use new technological advances as a way to wriggle out of obligations to consumers , such as ensuring reliable service , particularly in emergencies .
model walks topless through new york city to campaign for gender equality	this is the moment a model walked through new york city topless in a bid to campaign for gender equality.bystanders looked shocked when they spotted glamour model emily bloom walking through the big apple during her stunt supporting the free the nipple movement .
justin trudeau says liberals plan 3 years of deficits to push infrastructure	justin trudeau says a liberal government wo n't balance the books for three straight years but will double spending on infrastructure to jump-start economic growth .
